PJ V D V% Min PTS TA TI TA% 3PA 3PI 3P% TLA TLI TL% REBO REBD REB AST PRD R BL BLC FP FPR +/-
"Atlanta Hawks" 25.0 13.0 12.0 0.52 48.2 117.1 43.0 92.8 46.3 12.3 36.2 34.1 18.8 23.9 78.6 12.6 33.3 45.9 30.0 16.2 10.3 5.2 5.9 19.2 20.4 -2.8
"Boston Celtics" 24.0 19.0 5.0 0.792 48.6 120.1 41.6 91.0 45.7 19.0 51.4 37.0 17.9 22.2 80.5 10.5 33.6 44.0 25.7 11.8 7.4 5.6 3.9 16.8 19.4 9.4
"Brooklyn Nets" 24.0 10.0 14.0 0.417 48.4 110.1 38.8 84.0 46.2 15.3 39.6 38.5 17.3 21.4 80.7 8.4 29.6 38.0 25.8 14.6 7.0 3.8 6.5 22.4 19.7 -3.8
"Charlotte Hornets" 24.0 7.0 17.0 0.292 48.4 107.1 38.5 89.6 42.9 15.7 43.1 36.4 14.5 18.5 78.3 13.0 32.2 45.2 23.0 16.2 7.8 4.9 5.4 21.2 18.9 -5.5
"Chicago Bulls" 25.0 10.0 15.0 0.4 48.0 119.1 43.4 90.9 47.8 16.7 43.5 38.4 15.5 19.5 79.5 8.8 35.4 44.2 29.4 15.4 7.2 4.6 5.0 18.4 16.7 -3.9
"Cleveland Cavaliers" 25.0 21.0 4.0 0.84 48.0 121.4 45.0 88.6 50.7 15.4 38.2 40.4 16.0 20.6 78.0 9.0 34.0 43.1 28.1 13.2 8.8 4.7 4.7 18.6 18.5 9.9
"Dallas Mavericks" 24.0 16.0 8.0 0.667 48.2 119.1 43.6 89.5 48.7 13.3 35.5 37.4 18.6 24.0 77.4 11.7 34.3 46.0 25.7 14.2 8.3 5.7 4.2 20.3 19.5 7.7
"Denver Nuggets" 22.0 12.0 10.0 0.545 48.5 118.7 44.0 89.5 49.2 11.7 30.5 38.2 18.9 25.2 75.0 11.1 33.4 44.5 30.9 14.5 8.8 4.8 5.9 18.5 21.1 1.9
"Detroit Pistons" 25.0 10.0 15.0 0.4 48.6 110.5 40.6 87.6 46.4 13.3 36.7 36.3 16.0 20.9 76.5 11.3 34.1 45.4 25.3 16.7 6.3 5.3 5.1 20.0 18.1 -2.5
"Golden State Warriors" 23.0 14.0 9.0 0.609 48.2 114.1 41.8 92.1 45.4 15.2 41.2 36.9 15.4 21.8 70.7 13.1 35.6 48.7 29.2 14.4 9.0 5.3 6.2 20.7 18.3 5.0
"Houston Rockets" 24.0 16.0 8.0 0.667 48.6 113.6 41.5 94.4 43.9 12.0 36.3 33.0 18.8 24.4 76.9 14.2 35.8 49.9 22.5 13.2 8.7 5.7 6.4 20.5 20.7 7.0
"Indiana Pacers" 25.0 10.0 15.0 0.4 48.4 114.0 42.4 87.2 48.7 12.4 33.2 37.3 16.7 21.2 78.7 8.5 31.2 39.7 27.1 15.1 8.4 5.2 4.5 20.1 19.0 -4.2
"LA Clippers" 25.0 14.0 11.0 0.56 48.2 108.7 39.8 86.1 46.3 12.5 33.8 37.1 16.5 21.2 77.9 11.4 33.3 44.6 24.6 16.4 9.4 4.3 5.2 18.9 18.2 1.3
"Los Angeles Lakers" 24.0 13.0 11.0 0.542 48.2 112.1 40.9 86.2 47.4 11.7 33.3 35.2 18.7 23.8 78.6 9.0 31.3 40.3 26.7 13.0 7.9 4.7 4.0 16.3 20.7 -3.6
"Memphis Grizzlies" 25.0 17.0 8.0 0.68 48.0 122.1 44.9 91.9 48.9 13.2 37.4 35.4 19.0 24.5 77.8 12.1 35.5 47.6 30.3 16.9 9.0 7.0 5.1 21.5 21.5 8.7
"Miami Heat" 22.0 12.0 10.0 0.545 48.5 112.2 39.8 88.2 45.2 15.0 39.2 38.3 17.6 22.5 78.3 10.3 33.2 43.5 26.5 12.7 9.0 3.6 5.3 16.4 18.7 3.0
"Milwaukee Bucks" 23.0 12.0 11.0 0.522 48.2 113.4 41.0 85.0 48.3 14.5 36.8 39.4 16.9 23.1 73.1 8.3 34.7 43.0 23.7 14.0 7.0 5.6 4.0 18.6 19.7 1.0
"Minnesota Timberwolves" 23.0 12.0 11.0 0.522 48.4 110.5 39.4 84.7 46.5 15.2 40.6 37.5 16.5 20.8 79.3 9.3 33.0 42.3 25.1 16.2 8.6 4.8 4.7 18.6 19.4 3.6
"New Orleans Pelicans" 25.0 5.0 20.0 0.2 48.0 105.0 39.1 89.3 43.8 10.8 33.1 32.7 16.0 21.1 75.7 12.6 30.4 43.0 23.8 15.0 9.4 5.4 5.8 17.8 17.6 -11.7
